,stock_date,company_name,stock_price
205,2021-02-19,BHARTIARTL,581.35
206,2021-02-22,BHARTIARTL,570.3
207,2021-02-23,BHARTIARTL,565.55
208,2021-02-24,BHARTIARTL,572.95
209,2021-02-25,BHARTIARTL,579.15
210,2021-02-26,BHARTIARTL,556.3
211,2021-03-01,BHARTIARTL,532.2
212,2021-03-02,BHARTIARTL,541.2
213,2021-03-03,BHARTIARTL,546.3
214,2021-03-04,BHARTIARTL,539.6
215,2021-03-05,BHARTIARTL,532.8
216,2021-03-08,BHARTIARTL,525.7
217,2021-03-09,BHARTIARTL,521.75
218,2021-03-10,BHARTIARTL,525.85
219,2021-03-12,BHARTIARTL,524.2
220,2021-03-15,BHARTIARTL,522.85
221,2021-03-16,BHARTIARTL,529.3
222,2021-03-17,BHARTIARTL,522.9
223,2021-03-18,BHARTIARTL,527.2
224,2021-03-19,BHARTIARTL,529.95
225,2021-03-22,BHARTIARTL,528.0
226,2021-03-23,BHARTIARTL,529.25
227,2021-03-24,BHARTIARTL,523.65
228,2021-03-25,BHARTIARTL,507.75
229,2021-03-26,BHARTIARTL,522.5
230,2021-03-30,BHARTIARTL,521.5
231,2021-03-31,BHARTIARTL,517.3
232,2021-04-01,BHARTIARTL,520.8
233,2021-04-05,BHARTIARTL,528.25
234,2021-04-06,BHARTIARTL,532.2
235,2021-04-07,BHARTIARTL,541.6
236,2021-04-08,BHARTIARTL,543.0
237,2021-04-09,BHARTIARTL,545.25
238,2021-04-12,BHARTIARTL,522.45
239,2021-04-13,BHARTIARTL,536.15
240,2021-04-15,BHARTIARTL,539.35
241,2021-04-16,BHARTIARTL,540.75
242,2021-04-19,BHARTIARTL,526.45
243,2021-04-20,BHARTIARTL,530.2
244,2021-04-22,BHARTIARTL,530.85
245,2021-04-23,BHARTIARTL,522.6
246,2021-04-26,BHARTIARTL,527.55
247,2021-04-27,BHARTIARTL,534.3
248,2021-04-28,BHARTIARTL,544.3
249,2021-04-29,BHARTIARTL,540.85
250,2021-04-30,BHARTIARTL,536.75
0,2020-04-30,INFY,715.5
1,2020-05-04,INFY,673.7
2,2020-05-05,INFY,673.7
